Account_Seq_Number__c,Id,Renewal_Mode__c,Account_Name__c,ContractNumber,StartDate,EndDate,SBQQ__RenewalOpportunity__r.Name,SBQQ__RenewalOpportunity__r.StageName
267828-0,800Do000000x96zIAA,Auto,D & J Concrete Corp.,7023234,2023-02-01,2025-01-31,2023 - D & J Concrete Corp. - BB Renewal,Closed Won
269236-0,800Do000000x974IAA,Manual,"FS Electronics, Inc.",7023239,2022-03-01,2023-02-28,"2023-FS Electronics, Inc.- BB Renewal",Closed Lost
270605-0,800Do000000x976IAA,Manual,"Northwest Floor Care, Inc.",7023241,2021-06-01,2023-05-31,"2023-Northwest Floor Care, Inc.- BB Renewal",Solution/Value
271538-0,800Do000000x979IAA,Manual,Portuguese Structural Steel Inc.,7023244,2021-03-01,2023-02-28,Portuguese Sturctural steel inc,Closed Won
272786-0,800Do000000x97BIAQ,Manual,"Fire Stop Systems, LLC",7023246,2022-03-01,2024-02-29,"2024 - Fire Stop Systems, LLC - Renewal",Discovery
273561-0,800Do000000x97DIAQ,Manual,"G & R Construction, Inc.",7023248,2022-02-01,2024-01-31,"2024 - G & R Construction, Inc. - Renewal",Discovery
274396-0,800Do000000x97EIAQ,Auto,"Crest Metal Craft, Inc.",7023249,2023-01-01,2023-12-31,"2024 - Crest Metal Craft, Inc. - Renewal",Discovery
276045-0,800Do000000x97HIAQ,Manual,R. L. Dehn & Sons Fire Protection Inc.,7023252,2021-05-01,2023-04-30,2023-R. L. Dehn & Sons Fire Protection Inc.- BB Renewal,Solution/Value
27686-0,800Do000000x97JIAQ,Manual,"Ace/Avant Concrete Construction Co., Inc.",7023254,2021-07-01,2023-06-30,"2023-Ace/Avant Concrete Construction Co., Inc.- BB Renewal",Solution/Value
277045-0,800Do000000x97KIAQ,Manual,"Delaware Valley Concrete Co., Inc.",7023255,2022-08-01,2023-07-31,"2023 - Delaware Valley Concrete Co., Inc. - Renewal",Discovery
277340-0,800Do000000x97MIAQ,Manual,"Chief Pest Control, Inc.",7023257,2021-04-01,2023-03-31,2023 Renewal - Chief Pest - 3/31/23,Discovery
277371-0,800Do000000x97NIAQ,Auto,"I.D.S., Inc.",7023258,2023-01-01,2024-12-31,"2025 - I.D.S., Inc. - Renewal",Discovery
2777576-0,800Do000000x97OIAQ,Manual,Clark's Excavating,7023259,2022-01-01,2023-12-31,2024 - Clark's Excavating - Renewal,Discovery
277906-0,800Do000000x97PIAQ,Manual,"Basic Electrical Services, Inc.",7023260,2022-03-01,2024-02-29,"2024 - Basic Electrical Services, Inc. - Renewal",Discovery
278526-1,800Do000000x97RIAQ,Manual,"Delta Contractors & Associates, LLC",7023262,2021-03-01,2023-02-28,,
279195-0,800Do000000x97TIAQ,Manual,"American Fiberglass, Inc.",7023264,2022-01-01,2023-12-31,"2024 - American Fiberglass, Inc. - Renewal",Discovery
279760-0,800Do000000x97UIAQ,Manual,DENEAU,7023265,2022-09-01,2024-08-31,2024 - DENEAU - Renewal,Discovery
279831-0,800Do000000x97VIAQ,Manual,Salamon Engineering PLLC,7023266,2021-11-01,2023-10-31,2023 - Salamon Engineering PLLC - Renewal,Discovery
280521-0,800Do000000x97YIAQ,Manual,"Dependable Electric Co., Inc.",7023269,2022-07-01,2024-06-30,"2024 - Dependable Electric Co., Inc. - Renewal",Discovery
280667-0,800Do000000x97ZIAQ,Manual,Linear Tech Striping,7023270,2022-01-01,2023-12-31,2024 - Linear Tech Striping - Renewal,Discovery
281130-0,800Do000000x97aIAA,Manual,"Door Jockey, Inc.",7023271,2022-03-01,2024-02-29,"2024 - Door Jockey, Inc. - Renewal",Discovery
2811748-0,800Do000000x97bIAA,Manual,BDW Roofing LLC,7023272,2021-02-01,2023-01-31,,
2813319-0,800Do000000x97cIAA,Manual,Friendly Construction Services,7023273,2022-05-01,2024-04-30,2024 - Friendly Construction Services - Renewal,Discovery
281395-0,800Do000000x97dIAA,Manual,"Design Electrical Construction, Inc.",7023274,2022-06-01,2023-05-31,"2023-Design Electrical Construction, Inc.- BB Renewal",Solution/Value
2819572-0,800Do000000x97fIAA,Manual,"B & B Commercial Masonry, Inc.",7023276,2022-06-01,2023-05-31,"2023-B & B Commercial Masonry, Inc.- BB Renewal",Solution/Value
2819753-0,800Do000000x97gIAA,Manual,The Bluestone Group,7023277,2022-09-01,2024-08-31,2024 - The Bluestone Group - Renewal,Discovery
2820229-0,800Do000000x97hIAA,Manual,Another Garage & Gate Inc.,7023278,2022-05-01,2023-04-30,2023-Another Garage & Gate Inc.- BB Renewal,Solution/Value
282771-0,800Do000000x97jIAA,Manual,"All-Phase Electrical Services, Inc.",7023280,2022-09-01,2024-08-31,"2024 - All-Phase Electrical Services, Inc. - Renewal",Discovery
284243-1,800Do000000x97kIAA,Manual,Architectural Design Panels Inc.,7023281,2022-09-01,2024-08-31,2024 - Architectural Design Panels Inc. - Renewal,Discovery
284976-1,800Do000000x97nIAA,Manual,"D.S.A. Services, Inc.",7023284,2021-03-01,2023-02-28,"2023-D.S.A. Services, Inc. - BB Renewal",Closed Lost
286290-0,800Do000000x97pIAA,Manual,"Trinity Pacific Concrete Services, LLC",7023286,2021-10-01,2023-09-30,"2023 - Trinity Pacific Concrete Services, LLC - Renewal",Discovery
286866-0,800Do000000x97rIAA,Auto,"Mike Conkle's Custom Cabinets, Inc.",7023288,2023-01-01,2024-12-31,"2025 - Mike Conkle's Custom Cabinets, Inc. - Renewal",Discovery
286998-0,800Do000000x97sIAA,Auto,"Andrew Bell, Inc.",7023289,2022-11-01,2024-10-31,"2024 - Andrew Bell, Inc. - Renewal",Discovery
287201-0,800Do000000x97tIAA,Manual,"Qualco Fire Protection, Inc.",7023290,2021-10-01,2023-09-30,"2023 - Qualco Fire Protection, Inc. - Renewal",Discovery
289183-1,800Do000000x97vIAA,Manual,"C.A.C. Industries, Inc.",7023292,2021-12-01,2023-11-30,"2023 - C.A.C. Industries, Inc. - Renewal",Discovery
290467-0,800Do000000x97zIAA,Manual,"Alessandra Misc. Metalworks, Inc.",7023296,2022-02-01,2024-01-31,"2024 - Alessandra Misc. Metalworks, Inc. - Renewal",Discovery
2909359-0,800Do000000x980IAA,Manual,GM Construction Services,7023297,2022-02-01,2024-01-31,2024 - GM Construction Services - Renewal,Discovery
2912589-0,800Do000000x982IAA,Manual,"FLAF Sports Services, Inc.",7023299,2022-09-01,2024-08-31,"2024 - FLAF Sports Services, Inc. - Renewal",Discovery
1335981-0,800Do000000x9BkIAI,Manual,"Pro Style, Inc.",7023563,2021-09-01,2023-08-31,"2023 - Pro Style, Inc. - Renewal",Discovery
133793-1,800Do000000x9BlIAI,Manual,Casa Grane Rent A Can,7023564,2021-12-01,2023-11-30,2023 - Casa Grane Rent A Can - Renewal,Discovery
133945-4,800Do000000x9BmIAI,Manual,"McNeil Sales & Service, Inc.",7023565,2021-09-01,2023-08-31,"2023 - McNeil Sales & Service, Inc. - Renewal",Discovery
135293-0,800Do000000x9CNIAY,Manual,"Imperial Fire & Safety, Inc.",7023567,2021-03-01,2023-02-28,"2023-Imperial Fire & Safety, Inc.- BB Renewal",Closed Lost
135583-0,800Do000000x9COIAY,Manual,ElectroServe Co.,7023568,2021-11-01,2023-10-31,2023 - ElectroServe Co. - Renewal,Discovery
136035-0,800Do000000x9CPIAY,Manual,"Great Lakes Welding and Fabrication, L.L.C.",7023569,2022-08-01,2023-07-31,"2023 - Great Lakes Welding and Fabrication, L.L.C. - Renewal",Discovery
136137-0,800Do000000x9CQIAY,Manual,"Custom Drywall, Inc.",7023570,2021-10-01,2023-09-30,"2023 - Custom Drywall, Inc. - Renewal",Discovery
136468-0,800Do000000x9CRIAY,Manual,"Arris Builders, Inc.",7023571,2021-11-01,2023-10-31,"2023 - Arris Builders, Inc. - Renewal",Discovery
1368412-1,800Do000000x9CSIAY,Manual,Sharp Interiors,7023572,2022-03-01,2024-02-29,2024 - Sharp Interiors - Renewal,Discovery
1368794-2,800Do000000x9CTIAY,Manual,"MOT Plans, Inc.",7023573,2021-05-01,2023-04-30,"2023-MOT Plans, Inc. - BB Renewal",Solution/Value
137067-0,800Do000000x9CUIAY,Manual,Total Cleaning,7023574,2021-05-01,2023-04-30,2023-Total Cleaning- BB Renewal,Contract Signed
1377670-0,800Do000000x9CWIAY,Manual,Brouwer Brothers Steamatic,7023576,2021-07-01,2023-06-30,2023-Brouwer Brothers Steamatic- BB Renewal,Solution/Value
1389079-0,800Do000000x9CbIAI,Manual,"Engineered Security & Sound, Inc.",7023581,2022-10-01,2024-09-30,"2024 - Engineered Security & Sound, Inc. - Renewal",Discovery
1392746-0,800Do000000x9CcIAI,Manual,Associated Fence of Glendale,7023582,2021-04-01,2023-03-31,2023-Associated Fence of Glendale- BB Renewal,Proposal
1393075-0,800Do000000x9CdIAI,Manual,"Landscapers, Inc.",7023583,2022-07-01,2024-06-30,"2024 - Landscapers, Inc. - Renewal",Discovery
1398485-1,800Do000000x9CfIAI,Manual,Mavi New York Inc.,7023585,2022-09-01,2023-08-31,2023 - Mavi New York Inc. - Renewal,Discovery
1398825-0,800Do000000x9CgIAI,Manual,"Glassworks, LLC",7023586,2021-09-01,2023-08-31,"2023 - Glassworks, LLC - Renewal",Discovery
1402369-0,800Do000000x9CjIAI,Manual,A.M. & Son Electric,7023589,2021-03-01,2023-02-28,2023-A.M. & Son Electric- BB Renewal,Closed Lost
1407158-1,800Do000000x9ClIAI,Manual,Altec Building Systems Corp.,7023591,2021-09-01,2023-08-31,2023 - Altec Building Systems Corp. - Renewal,Discovery
1415493-0,800Do000000x9CoIAI,Manual,M-Mig Construction Inc.,7023594,2022-04-01,2024-03-31,2024 - M-Mig Construction Inc. - Renewal,Discovery
1419989-0,800Do000000x9CpIAI,Manual,Faith Air & Heating,7023595,2021-12-01,2023-11-30,2023 - Faith Air & Heating - Renewal,Discovery
142335-0,800Do000000x9CrIAI,Manual,"Johnson Roofing Systems, Inc.",7023597,2022-03-01,2023-02-28,"2023-Johnson Roofing Systems, Inc.- BB Renewal",Closed Won
143271-0,800Do000000x9CwIAI,Manual,"City Beautiful Landscaping, Inc.",7023602,2022-03-01,2023-02-28,"2023-City Beautiful Landscaping, Inc.- BB Renewal",Closed Lost
1438015-1,800Do000000x9CzIAI,Manual,Three Alarm Fire Protection,7023605,2022-02-01,2024-01-31,2024 - Three Alarm Fire Protection - Renewal,Discovery
144519-0,800Do000000x9D2IAI,Auto,Linda Carpet & Tile,7023608,2022-11-01,2024-10-31,2024 - Linda Carpet & Tile - Renewal,Discovery
144724-0,800Do000000x9D3IAI,Manual,"Superior Floor Covering, Inc.",7023609,2022-09-01,2023-08-31,"2023 - Superior Floor Covering, Inc. - Renewal",Discovery
1448621-0,800Do000000x9D4IAI,Manual,Pacific Plumbing & Underground Construction,7023610,2022-03-01,2024-02-29,2024 - Pacific Plumbing & Underground Construction - Renewal,Discovery
14507-0,800Do000000x9D6IAI,Auto,"Scaffolding Solutions, LLC",7023612,2023-02-01,2025-01-31,"2023-Scaffolding Solutions, LLC- BB Renewal",Closed Won
1452474-0,800Do000000x9D7IAI,Manual,Baize Electric & Solar Technology,7023613,2022-03-01,2024-02-29,2024 - Baize Electric & Solar Technology - Renewal,Discovery
145717-0,800Do000000x9D8IAI,Manual,The Geiler Co.,7023614,2021-10-01,2023-09-30,2023 - The Geiler Co. - Renewal,Discovery
1463843-0,800Do000000x9DAIAY,Manual,Hansen Screen & Glass,7023616,2021-05-01,2023-04-30,2023-Hansen Screen & Glass- BB Renewal,Solution/Value
147253-0,800Do000000x9DCIAY,Auto,B A Steel LLC DBA Arrow Metal Fabricators and Constructors,7023618,2022-11-01,2024-10-31,2024 - B A Steel LLC DBA Arrow Metal Fabricators and Constructors - Renewal,Discovery
147484-0,800Do000000x9DDIAY,Auto,"Interior Supply, Inc.",7023619,2023-01-01,2024-12-31,"2025 - Interior Supply, Inc. - Renewal",Discovery
147817-0,800Do000000x9DEIAY,Manual,"Bay Carpets, Inc.",7023620,2022-03-01,2024-02-29,"2024 - Bay Carpets, Inc. - Renewal",Discovery
147907-0,800Do000000x9DFIAY,Manual,Artec Sprinkler Corp.,7023621,2022-03-01,2024-02-29,2024 - Artec Sprinkler Corp. - Renewal,Discovery
148795-0,800Do000000x9DGIAY,Manual,Cameron Building Envelope Specialists,7023622,2022-10-01,2024-09-30,2024 - Cameron Building Envelope Specialists - Renewal,Discovery
149255-0,800Do000000x9DIIAY,Manual,"Zalco Laboratories, Inc.",7023624,2022-01-01,2023-12-31,"2024 - Zalco Laboratories, Inc. - Renewal",Discovery
149265-0,800Do000000x9DJIAY,Auto,"Aspen Landscape Contractors, Inc.",7023625,2022-11-01,2023-10-31,"2023 - Aspen Landscape Contractors, Inc. - Renewal",Discovery
1493998-0,800Do000000x9DKIAY,Manual,"Bayside Mechanical, Inc.",7023626,2022-01-01,2023-12-31,"2024 - Bayside Mechanical, Inc. - Renewal",Discovery
149452-0,800Do000000x9DLIAY,Manual,"Thomas Craig Construction, Inc.",7023627,2021-03-01,2023-02-28,,
1497352-0,800Do000000x9DMIAY,Manual,ALL SEASONS POOLS,7023628,2022-08-01,2024-07-31,2024 - ALL SEASONS POOLS - Renewal,Discovery
1503347-0,800Do000000x9DPIAY,Manual,"Sprigler Concrete, Inc.",7023631,2021-06-01,2023-05-31,"2023-Sprigler Concrete, Inc.- BB Renewal",Solution/Value
152465-0,800Do000000x9DQIAY,Manual,Dynaguard,7023632,2022-08-01,2024-07-31,2024 - Dynaguard - Renewal,Discovery
1532356-1,800Do000000x9DRIAY,Manual,"David Hill Builders, Inc.",7023633,2022-03-01,2023-02-28,"2023-David Hill Builders, Inc.- BB Renewal",Closed Won
153302-1,800Do000000x9DSIAY,Manual,"Atlantic Industrial, Mechanical & Electrical Inc.",7023634,2021-04-01,2023-03-31,"2023-Atlantic Industrial, Mechanical & Electrical Inc.- BB Renewal",Discovery
1536150-0,800Do000000x9DUIAY,Manual,RCX Tilt Up Construction Inc.,7023636,2021-09-01,2023-08-31,2023 - RCX Tilt Up Construction Inc. - Renewal,Discovery
1536727-0,800Do000000x9DVIAY,Manual,Imperial Flooring Solutions,7023637,2021-07-01,2023-06-30,2023-Imperial Flooring Solutions- BB Renewal,Solution/Value
1539611-0,800Do000000x9DYIAY,Manual,"Dan Dennis Builders, Inc.",7023640,2021-08-01,2023-07-31,"2023 - Dan Dennis Builders, Inc. - Renewal",Discovery
156146-0,800Do000000x9DaIAI,Manual,Avcom Communications,7023642,2022-10-01,2024-09-30,2024 - Avcom Communications - Renewal,Discovery
1568743-0,800Do000000x9DbIAI,Manual,Vital Signs,7023643,2021-05-01,2023-04-30,2023-Vital Signs- BB Renewal,Closed Lost
1569154-0,800Do000000x9DcIAI,Manual,American Fire Service Inc.,7023644,2022-09-01,2024-08-31,2024 - American Fire Service Inc. - Renewal,Discovery
156955-0,800Do000000x9DdIAI,Auto,Azzarone Contracting Corporation,7023645,2023-01-01,2023-12-31,2024 - Azzarone Contracting Corporation - Renewal,Discovery
158154-0,800Do000000x9DhIAI,Manual,"Riley Electric, Inc.",7023649,2021-07-01,2023-06-30,"2023-Riley Electric, Inc.- BB Renewal",Solution/Value
160711-0,800Do000000x9DkIAI,Manual,"Baker Lightning Rod Co., LLC",7023652,2022-01-01,2023-12-31,"2024 - Baker Lightning Rod Co., LLC - Renewal",Discovery
161665-0,800Do000000x9DlIAI,Manual,"James R. Ballard Plumbing & Heating, Inc.",7023653,2022-02-01,2024-01-31,"2024 - James R. Ballard Plumbing & Heating, Inc. - Renewal",Discovery
161813-0,800Do000000x9DmIAI,Manual,Your Environment's Solution,7023654,2022-02-01,2024-01-31,2024 - Your Environment's Solution - Renewal,Discovery
163319-0,800Do000000x9DnIAI,Manual,"Best Masonry Construction, Inc.",7023655,2021-02-01,2023-01-31,"2023-Best Masonry Construction, Inc.- BB Renewal",Closed Won
163772-1,800Do000000x9DoIAI,Auto,"Openings Of California, Inc.",7023656,2022-11-01,2024-10-31,"2024 - Openings Of California, Inc. - Renewal",Discovery
164419-0,800Do000000x9DpIAI,Manual,Clean-Up Service Inc.,7023657,2022-01-01,2023-12-31,2024 - Clean-Up Service Inc. - Renewal,Discovery
164869-0,800Do000000x9DqIAI,Auto,"Valcom Enterprises, Inc.",7023658,2023-01-01,2024-12-31,"2025 - Valcom Enterprises, Inc. - Renewal",Discovery
165353-0,800Do000000x9DrIAI,Manual,"One Way Electric, Inc.",7023659,2021-12-01,2023-11-30,"2023 - One Way Electric, Inc. - Renewal",Discovery
165477-0,800Do000000x9DsIAI,Auto,LaTorre Construction Concrete/Mason Contractors,7023660,2023-01-01,2024-12-31,2025 - LaTorre Construction Concrete/Mason Contractors - Renewal,Discovery
165816-0,800Do000000x9DvIAI,Manual,DDM Construction Corporation,7023663,2022-01-01,2023-12-31,2024 - DDM Construction Corporation - Renewal,Discovery
16653-0,800Do000000x9DwIAI,Manual,The Country Plumber,7023664,2021-03-01,2023-02-28,2023-The Country Plumber- BB Renewal,Proposal
166588-0,800Do000000x9DxIAI,Manual,Polygon Group US,7023665,2021-12-01,2023-11-30,2023 - Polygon Group US - Renewal,Discovery
16759-0,800Do000000x9DyIAI,Manual,R.I.C. Electric,7023666,2021-10-01,2023-09-30,2023 - R.I.C. Electric - Renewal,Discovery
168161-0,800Do000000x9E0IAI,Manual,Zager Global Inc.,7023668,2021-05-01,2023-04-30,2023-Zager Global Inc.- BB Renewal,Contract Signed
17098-0,800Do000000x9E4IAI,Manual,"MODERN HEATING & COOLING, INC",7023672,2021-02-01,2023-01-31,"2023 - Modern Heating & Cooling, Inc - BB Renewal",Closed Lost
172267-0,800Do000000x9E6IAI,Manual,Focus Electrical Contractors LLC,7023674,2022-09-01,2023-08-31,2023 - Focus Electrical Contractors LLC - Renewal,Discovery
172292-0,800Do000000x9E7IAI,Manual,"Halco Mechanical, Inc.",7023675,2022-09-01,2023-08-31,"2023 - Halco Mechanical, Inc. - Renewal",Discovery
172640-0,800Do000000x9E8IAI,Manual,Recreation Dynamics,7023676,2022-08-01,2024-07-31,2024 - Recreation Dynamics - Renewal,Discovery
17288-1,800Do000000x9E9IAI,Manual,Affordable Fire & Safety,7023677,2021-02-01,2023-01-31,,
173924-0,800Do000000x9EAIAY,Manual,R. E. Drywall Contracting Inc.,7023678,2021-09-01,2023-08-31,2023 - R. E. Drywall Contracting Inc. - Renewal,Discovery
174446-0,800Do000000x9EBIAY,Manual,"Ridgeworth Roofing Co., Inc.",7023679,2022-09-01,2024-08-31,"2024 - Ridgeworth Roofing Co., Inc. - Renewal",Discovery
174520-0,800Do000000x9ECIAY,Manual,"BWS Industries, Inc.",7023680,2022-03-01,2024-02-29,"2024 - BWS Industries, Inc. - Renewal",Discovery
177470-0,800Do000000x9EEIAY,Manual,Stauffers Painting Systems Inc.,7023682,2022-08-01,2024-07-31,2024 - Stauffers Painting Systems Inc. - Renewal,Discovery
178294-0,800Do000000x9EHIAY,Manual,"Pro Max Fence Systems, LLC",7023685,2022-09-01,2024-08-31,"2024 - Pro Max Fence Systems, LLC - Renewal",Discovery
178641-0,800Do000000x9EIIAY,Manual,DFW Urethane,7023686,2021-04-01,2023-03-31,2023-DFW Urethane- BB Renewal,Closed Lost
179025-0,800Do000000x9EJIAY,Manual,"Munson, Inc.",7023687,2021-08-01,2023-07-31,"2023 - Munson, Inc. - Renewal",Discovery
180516-0,800Do000000x9ELIAY,Manual,Architectural Precast & Foam,7023689,2021-02-01,2023-01-31,,
181160-0,800Do000000x9EMIAY,Manual,"Controlled Access, Inc.",7023690,2021-12-01,2023-11-30,"2023 - Controlled Access, Inc. - Renewal",Discovery
181234-0,800Do000000x9EOIAY,Manual,Rew Materials of Columbus,7023692,2022-01-01,2023-12-31,2024 - Rew Materials of Columbus - Renewal,Discovery
181486-0,800Do000000x9EPIAY,Auto,"Mustang Contractors, Inc.",7023693,2023-02-01,2025-01-31,"2025 - Mustang Contractors, Inc. - Renewal",Discovery
182339-0,800Do000000x9ERIAY,Manual,Arc Sprayed Insulation,7023695,2022-02-01,2024-01-31,2024 - Arc Sprayed Insulation - Renewal,Discovery
183859-0,800Do000000x9EUIAY,Manual,H J Otis Plumbing Company Ltd.,7023698,2021-09-01,2023-08-31,2023 - H J Otis Plumbing Company Ltd. - Renewal,Discovery
185375-0,800Do000000x9EXIAY,Manual,"De Keyser Construction Co., Inc.",7023701,2022-03-01,2024-02-29,"2024 - De Keyser Construction Co., Inc. - Renewal",Discovery
186020-0,800Do000000x9EYIAY,Manual,Bob's Overhead Door Repair & Service Inc.,7023702,2021-09-01,2023-08-31,2023 - Bob's Overhead Door Repair & Service Inc. - Renewal,Discovery
186831-0,800Do000000x9EZIAY,Manual,"Clean Cut Tree Service, Inc.",7023703,2021-09-01,2023-08-31,"2023 - Clean Cut Tree Service, Inc. - Renewal",Discovery
188813-0,800Do000000x9EbIAI,Manual,Landscape Service Professionals LLC,7023705,2021-04-01,2023-03-31,2023-Landscape Service Professionals Inc.- BB Renewal,Contract Acceptance
188880-0,800Do000000x9EcIAI,Manual,"Mueller Ornamental Iron Works, Inc.",7023706,2021-07-01,2023-06-30,"2023-Mueller Ornamental Iron Works, Inc.- BB Renewal",Solution/Value
189144-2,800Do000000x9EeIAI,Manual,Dayton Door Sales / Overhead Door Co. of Greater Columbus,7023708,2022-01-01,2023-12-31,2024 - Dayton Door Sales / Overhead Door Co. of Greater Columbus - Renewal,Discovery
189740-0,800Do000000x9EfIAI,Manual,Paint Platoon USA,7023709,2022-03-01,2024-02-29,2024 - Paint Platoon USA - Renewal,Discovery
190061-0,800Do000000x9EgIAI,Manual,Merola's Paving Corp.,7023710,2022-04-01,2024-03-31,2024 - Merola's Paving Corp. - Renewal,Discovery
190436-0,800Do000000x9EiIAI,Manual,"Roofing Solutions, Inc.",7023712,2021-06-01,2023-05-31,"2023-Roofing Solutions, Inc.- BB Renewal",Solution/Value
191131-0,800Do000000x9EkIAI,Manual,Folsom Lake Asphalt,7023714,2021-10-01,2023-09-30,2023 - Folsom Lake Asphalt - Renewal,Discovery
191134-0,800Do000000x9ElIAI,Manual,"Allied Excavating, Inc.",7023715,2022-08-01,2024-07-31,"2024 - Allied Excavating, Inc. - Renewal",Discovery
1917668-0,800Do000000x9EmIAI,Manual,Service-Scape,7023716,2021-04-01,2023-03-31,2023-Service-Scape- BB Renewal,Proposal
192374-0,800Do000000x9EnIAI,Manual,"T.J. Janca Construction, Inc.",7023717,2022-03-01,2024-02-29,"2024 - T.J. Janca Construction, Inc. - Renewal",Discovery
192915-0,800Do000000x9EoIAI,Manual,Dr. House Painter LLC,7023718,2021-12-01,2023-11-30,2023 - Dr. House Painter LLC - Renewal,Discovery
1937777-0,800Do000000x9EpIAI,Manual,"AR Electric, Inc.",7023719,2022-01-01,2023-12-31,"2024 - AR Electric, Inc. - Renewal",Discovery
194844-0,800Do000000x9ErIAI,Manual,"P & A Roofing & Sheet Metal, Inc.",7023721,2021-10-01,2023-09-30,"2023 - P & A Roofing & Sheet Metal, Inc. - Renewal",Discovery
195070-0,800Do000000x9EsIAI,Auto,"Design Plus Sprinkler Systems, Inc.",7023722,2023-02-01,2025-01-31,"2025 - Design Plus Sprinkler Systems, Inc. - Renewal",Discovery
